task,is_primary,model,threshold,n_train,n_val,n_test,train_pos_rate,val_pos_rate,test_pos_rate,val_best_mcc,val_mcc,val_roc_auc,val_pr_auc,val_f1,val_precision,val_recall,val_accuracy,val_bal_acc,test_mcc,test_roc_auc,test_pr_auc,test_f1,test_precision,test_recall,test_accuracy,test_bal_acc
NR-ER,True,RF,0.38999999999999996,4427,564,542,0.126722385362548,0.1400709219858156,0.1033210332103321,0.39534914163850143,0.39534914163850143,0.7164034973248073,0.44755141309660407,0.4496124031007752,0.58,0.3670886075949367,0.874113475177305,0.6618948192613859,0.28977821600603504,0.724867724867725,0.38001150632083697,0.3584905660377358,0.38,0.3392857142857143,0.8745387453874539,0.6377498530276309
NR-ER,True,XGB,0.6799999999999999,4427,564,542,0.126722385362548,0.1400709219858156,0.1033210332103321,0.36459230796636555,0.36459230796636555,0.6858541041367612,0.4012265548002205,0.32323232323232326,0.8,0.20253164556962025,0.8812056737588653,0.5971421114446039,0.3154655638309567,0.683862433862434,0.3353009961277019,0.3488372093023256,0.5,0.26785714285714285,0.8966789667896679,0.6184964726631393
NR-ER,True,MLP,0.5499999999999999,4427,564,542,0.126722385362548,0.1400709219858156,0.1033210332103321,0.23433460218482263,0.23433460218482263,0.6938274827091218,0.326558101597665,0.11904761904761904,1.0,0.06329113924050633,0.8687943262411347,0.5316455696202531,0.14563183259031695,0.6385949441504997,0.25810494862262356,0.12307692307692308,0.4444444444444444,0.07142857142857142,0.8948339483394834,0.530570252792475
NR-ER,True,SVM,0.18,4427,564,542,0.126722385362548,0.1400709219858156,0.1033210332103321,0.18517299383133098,0.18517299383133098,0.6255513506459611,0.217527917147859,0.2727272727272727,0.33962264150943394,0.22784810126582278,0.8297872340425532,0.5778415764061073,0.07297192152349084,0.5625367430922986,0.13671958307851229,0.14893617021276595,0.18421052631578946,0.125,0.8523985239852399,0.5306069958847737
NR-ER-LBD,True,RF,0.5299999999999999,4962,623,634,0.049576783555018135,0.03531300160513644,0.04574132492113565,0.39214840676989293,0.39214840676989293,0.758357283315686,0.287430441836452,0.3448275862068966,0.7142857142857143,0.22727272727272727,0.9695024077046549,0.6119724701255483,0.46571413832866665,0.8855514391564548,0.42553253061746865,0.48,0.5714285714285714,0.41379310344827586,0.9589905362776026,0.6994585351952123
NR-ER-LBD,True,XGB,0.8699999999999999,4962,623,634,0.049576783555018135,0.03531300160513644,0.04574132492113565,0.39214840676989293,0.39214840676989293,0.6718348207532899,0.26460020864654815,0.3448275862068966,0.7142857142857143,0.22727272727272727,0.9695024077046549,0.6119724701255483,0.44776645808441784,0.835280706754061,0.4582374159892063,0.42857142857142855,0.6923076923076923,0.3103448275862069,0.9621451104100947,0.6518666286691365
NR-ER-LBD,True,MLP,0.7799999999999999,4962,623,634,0.049576783555018135,0.03531300160513644,0.04574132492113565,0.36357220841689464,0.36357220841689464,0.6342459537135078,0.2392348011726335,0.24,1.0,0.13636363636363635,0.9695024077046549,0.5681818181818181,0.23652919315302984,0.7715018523795953,0.32798265263745097,0.17647058823529413,0.6,0.10344827586206896,0.9558359621451105,0.550071245369051
NR-ER-LBD,True,SVM,0.19,4962,623,634,0.049576783555018135,0.03531300160513644,0.04574132492113565,0.2271308738974557,0.2271308738974557,0.6703221902889124,0.14888383960192236,0.20689655172413793,0.42857142857142855,0.13636363636363635,0.9630818619582665,0.5648540311601875,0.1651850090181664,0.7950983186092904,0.25336795909463006,0.15789473684210525,0.3333333333333333,0.10344827586206896,0.9495268138801262,0.5467654602450841
SR-ARE,True,RF,0.3999999999999999,4201,531,531,0.15591525827184005,0.17325800376647835,0.21092278719397364,0.37139812813126794,0.37139812813126794,0.7906061206298901,0.45415036189424823,0.4777777777777778,0.48863636363636365,0.4673913043478261,0.8229755178907722,0.682442804793503,0.29219116721979327,0.7336345039209001,0.4043227313584531,0.46096654275092935,0.39490445859872614,0.5535714285714286,0.7269303201506592,0.6634205591544493
SR-ARE,True,XGB,0.6,4201,531,531,0.15591525827184005,0.17325800376647835,0.21092278719397364,0.37572587364167537,0.37572587364167537,0.7265772011488562,0.42883431731665933,0.4662576687116564,0.5352112676056338,0.41304347826086957,0.8361581920903954,0.6689363177181341,0.21143661118757176,0.6979308728264576,0.35383315705213914,0.36792452830188677,0.39,0.3482142857142857,0.7476459510357816,0.6013147800886465
SR-ARE,True,MLP,0.13999999999999999,4201,531,531,0.15591525827184005,0.17325800376647835,0.21092278719397364,0.27560589205975267,0.27560589205975267,0.7044666732692879,0.3672755345494049,0.40816326530612246,0.38461538461538464,0.43478260869565216,0.7815442561205274,0.644498365851243,0.18512050431334248,0.6826841118308898,0.31533216265119124,0.3888888888888889,0.3181818181818182,0.5,0.6685499058380414,0.6068019093078759
SR-ARE,True,SVM,0.21999999999999997,4201,531,531,0.15591525827184005,0.17325800376647835,0.21092278719397364,0.2953841966506437,0.2953841966506437,0.679583044468654,0.3738502626125266,0.36619718309859156,0.52,0.2826086956521739,0.8305084745762712,0.6139694958898683,0.11008919143857424,0.6205463689055576,0.2894764837466841,0.24,0.3333333333333333,0.1875,0.7495291902071564,0.5436306682577565
SR-HSE,True,RF,0.22999999999999998,4659,598,581,0.058166988624168275,0.07525083612040134,0.043029259896729774,0.2645814651293392,0.2645814651293392,0.7347799879445448,0.28970144395318354,0.31137724550898205,0.21311475409836064,0.5777777777777777,0.8076923076923077,0.7020896122161945,0.13567707825087402,0.7387050359712231,0.09563337073499112,0.16296296296296298,0.1,0.44,0.8055077452667814,0.6309712230215827
SR-HSE,True,XGB,0.72,4659,598,581,0.058166988624168275,0.07525083612040134,0.043029259896729774,0.27561852914261153,0.27561852914261153,0.6583885875025116,0.21741079277586287,0.24561403508771928,0.5833333333333334,0.15555555555555556,0.9280936454849499,0.5732569821177416,-0.012601787098700414,0.6671223021582734,0.07356211482667648,0.03571428571428571,0.03225806451612903,0.04,0.9070567986230637,0.49302158273381297
