task_name,cluster_id,cluster_method,representative_smiles,n_occurrences,n_molecules,n_positive_molecules,mean_seed_score,n_validated_occurrences,n_tested_occurrences,validated_fraction,mean_true_drop,mean_random_drop,mean_delta_vs_random,mean_empirical_p,selection_basis
LD50_Zhu,19,exact_repeat,N(CC)(CC)CC,3,3,3,0.9450929363568624,1.0,3.0,0.3333333333333333,0.03567387660344442,-0.004414524262150128,0.040088400865594544,0.5555555555555556,counterfactual_validated
LD50_Zhu,9,exact_repeat,ClC,5,5,5,0.9937920928001404,1.0,5.0,0.2,0.06115698218345642,0.017187238205224276,0.04396974397823215,0.2,counterfactual_validated
LD50_Zhu,6,exact_repeat,N(C)C,7,7,7,1.0,1.0,7.0,0.14285714285714285,0.02222299575805664,0.0012315554527698883,0.02099144030528675,0.3945578231292517,counterfactual_validated
LD50_Zhu,4,exact_repeat,c(c)(c)c,9,9,9,0.9463447464836968,1.0,9.0,0.1111111111111111,0.040861166185802884,0.0311170710871617,0.009744095098641183,0.2698412698412698,counterfactual_validated
LD50_Zhu,3,exact_repeat,N(C)(C)C,9,9,9,0.9989889793925815,1.0,9.0,0.1111111111111111,0.012888535857200623,-0.04436192551576015,0.057250461372960776,0.38095238095238093,counterfactual_validated
LD50_Zhu,1,exact_repeat,c(c)(c)C,13,13,13,0.8440301051506629,1.0,13.0,0.07692307692307693,0.051154070175611056,0.018233513094086308,0.03292055708152475,0.20512820512820512,counterfactual_validated
hERG_Karim,20,exact_repeat,C(NC)(CC)(CC)CO,12,12,12,0.6408722500006357,10.0,12.0,0.8333333333333334,0.3316126863161723,0.02765580218207712,0.30395688413409516,0.05555555555555555,counterfactual_validated
hERG_Karim,64,exact_repeat,C1(CC)CCCN1C,3,3,3,0.7865702311197916,2.0,3.0,0.6666666666666666,0.11391534407933553,-0.013320477912202477,0.12723582199153802,0.047619047619047616,counterfactual_validated
hERG_Karim,44,exact_repeat,N(C)C,5,5,5,0.9142385244369506,2.0,5.0,0.4,0.12487828135490417,0.004929875876405277,0.1199484054784989,0.047619047619047616,counterfactual_validated
hERG_Karim,4,exact_repeat,N(Cc)(CC)CC,25,25,25,0.6976940226554871,10.0,25.0,0.4,0.07997807621955871,-0.02099623078946024,0.10097430700901895,0.17142857142857143,counterfactual_validated
hERG_Karim,85,dbscan,C(O)(F)(F)F,5,3,3,0.6920182406902313,2.0,5.0,0.4,0.05605190992355347,0.0014411741867661476,0.05461073573678732,0.18095238095238095,counterfactual_validated
hERG_Karim,58,exact_repeat,C(CC)C(N)(C)C,3,3,3,0.3715941707293193,1.0,3.0,0.3333333333333333,0.1579448382059733,0.009199987126824757,0.14874485107914856,0.17460317460317457,counterfactual_validated
hERG_Karim,6,exact_repeat,N(C)(C)C,24,24,24,0.9805351669589678,6.0,24.0,0.25,0.0357103298107783,-0.010839291899173986,0.046549621709952284,0.376984126984127,counterfactual_validated
hERG_Karim,30,exact_repeat,C1(COC=N1)(c(c)c)C1(C)CC1,8,8,8,0.7140824869275093,1.0,8.0,0.125,0.09742654114961624,0.0670797061175108,0.030346835032105446,0.19047619047619047,counterfactual_validated
NR-AhR,2,exact_repeat,c(c)(c)c,5,5,5,0.8377590179443359,3.0,5.0,0.6,0.2971477031707764,0.10322397723793983,0.19392372593283652,0.11428571428571428,counterfactual_validated
NR-AhR,1,exact_repeat,Oc,5,5,5,1.0,2.0,5.0,0.4,0.16051940247416496,0.03072931538335979,0.12979008709080517,0.19047619047619047,counterfactual_validated
NR-AhR,0,exact_repeat,O=C,14,14,14,0.9855703796659198,5.0,14.0,0.35714285714285715,0.2946062948820846,0.07368295951580096,0.22092333536628367,0.1870748299319728,counterfactual_validated
NR-Aromatase,0,exact_repeat,c(N)(c)c,4,4,4,0.8979454040527344,,,,,,,,shap_consensus
NR-Aromatase,1,exact_repeat,cc(OCC)c,4,4,4,0.7766322791576385,,,,,,,,shap_consensus
NR-ER,4,exact_repeat,Oc,3,3,3,1.0,1.0,3.0,0.3333333333333333,0.22363569835821787,0.024688171222805977,0.1989475271354119,0.047619047619047616,counterfactual_validated
NR-ER-LBD,0,exact_repeat,C(c)(c)(C)C,3,3,3,0.9288068413734436,,,,,,,,shap_consensus
NR-ER-LBD,1,exact_repeat,c(c)c,3,3,3,0.7102793653806051,,,,,,,,shap_consensus
SR-ARE,6,exact_repeat,Oc(c)c,3,3,3,0.9479253689448038,1.0,3.0,0.3333333333333333,0.10219413042068481,0.02170202787965536,0.08049210254102945,0.2698412698412698,counterfactual_validated
SR-ARE,8,dbscan,C(\C)=C,3,3,3,0.9507021506627401,1.0,3.0,0.3333333333333333,0.0477499191959699,-0.026013882947154343,0.07376380214312424,0.17460317460317457,counterfactual_validated
SR-ARE,2,exact_repeat,c(c)(c)c,6,6,6,1.0,1.0,6.0,0.16666666666666666,0.09231664737065633,0.020441417427112658,0.07187522994354367,0.14285714285714285,counterfactual_validated
SR-HSE,0,exact_repeat,c([N+])(c)c,4,4,4,0.6946075782179832,,,,,,,,shap_consensus
SR-MMP,10,exact_repeat,Oc,4,4,4,1.0,3.0,4.0,0.75,0.47018103301525116,0.06711206282489002,0.40306897019036114,0.07142857142857142,counterfactual_validated
SR-MMP,5,exact_repeat,c(O)(c)c,6,6,6,0.8283610741297404,2.0,6.0,0.3333333333333333,0.34907497465610504,0.14530072694954774,0.2037742477065573,0.24603174603174605,counterfactual_validated
SR-MMP,16,exact_repeat,Clc(c)c,3,3,3,0.5890021820863088,1.0,3.0,0.3333333333333333,0.06173816199103991,-0.010120435540253917,0.07185859753129382,0.07936507936507936,counterfactual_validated
SR-MMP,0,exact_repeat,c(N)(c)c,17,17,17,0.8522918241865495,1.0,17.0,0.058823529411764705,0.0887939873534967,0.04465085098533617,0.04414313636816052,0.3137254901960784,counterfactual_validated
SR-p53,1,exact_repeat,C(c)(c)(C)C,3,3,3,1.0,1.0,3.0,0.3333333333333333,0.05674417813618978,0.03875137213617563,0.017992806000014145,0.38095238095238093,counterfactual_validated
